id;alert_name;alert_capacity;alert_sms_message;alert_email_message;alert_sms_message_active;alert_email_message_active;alert_period
1;Frozen;46726;Assurance invoice;dynamic SDD empowering;false;false;Yearly
2;card;71917;maximized;Devolved leverage Salad;true;false;Daily
3;Rubber world-class;40602;sensor intermediate;seamless Licensed program;true;true;Daily
4;Human override enable;70672;Administrator Designer deposit;Rubber;false;false;Daily
5;violet Platinum;43915;navigating;Integration streamline;true;false;Monthly
6;Macao synergies;16931;dynamic Plastic;Communications;true;false;Daily
7;Corporate;41942;Azerbaijan Product;Louisiana National reboot;false;true;Weekly
8;Architect Krona;23182;input;Concrete;true;false;Yearly
9;payment Creek Steel;4414;Steel Product Accountability;Human Security;true;true;Monthly
10;hierarchy Chief;68848;XSS;Buckinghamshire Gloves;false;true;Daily
