id;bucket_name;bucket_capacity;bucket_type;bucket_description;rate_plan
1;Plastic Architect Central;78505;intelligence;redefine Assurance;incentivize Investment
2;Vietnam Right-sized;90798;blue Path Concrete;system;Card
3;programming Outdoors;51991;Personal Cayman;solution-oriented;back-end
4;benchmark;35319;Granite;Health Account enable;XML Massachusetts
5;Shirt;15208;edge communities Human;driver matrix;human-resource Director
6;Cloned;72261;best-of-breed primary deliver;Wisconsin Salad;Republic
7;program Polynesia;52715;Small Steel bluetooth;and AGP;Stand-alone neutral
8;Frozen application e-business;50993;optimize;Dollar Home;Vietnam grey Marketing
9;schemas Soft Dinar;62402;Bolivar clicks-and-mortar;FTP bypass Corners;Borders Dynamic Home
10;Walk virtual;64246;synergize;Bike archive Avon;revolutionary Village Account
