id;customer_name;contarct_id;customer_parent;dummy_contract;customer_id_hight;customer_code
1;Assistant;9112;heuristic program;63267;61727;User-friendly Concrete
2;pricing;29113;auxiliary experiences;19477;52388;generate scale Rubber
3;Ball full-range;68188;Directives Soft Implementation;97585;42849;Progressive
4;intelligence;76676;Steel;78548;65488;secondary Front-line Tennessee
5;transmit;45039;Licensed;3293;59260;Chicken Account Dollar
6;Investment Electronics Cheese;62704;invoice Tuna Pine;56359;55879;Court Loan Rustic
7;application;82424;Island;44438;53552;Georgia
8;override;46210;Outdoors transparent;61568;53260;Handcrafted Architect
9;Liaison overriding;13133;experiences Sausages;4162;45752;Stravenue Virtual channels
10;up gold;25941;fuchsia International;14541;2610;real-time
